street,x,y,type,hour,week_day,day_type,day,month,year,minute
Av. Edmundo Pérez Zujovic,-70.392002,-23.609262,JAM,17,4,s,23,8,2024,44
Av. Iquique,-70.393767,-23.635413,JAM,17,4,s,23,8,2024,47
Av. Pedro Aguirre Cerda,-70.389605,-23.593969,JAM,17,4,s,23,8,2024,45
Av. Edmundo Pérez Zujovic,-70.395814,-23.631942,JAM,17,4,s,23,8,2024,50
Av. Grecia,-70.402615,-23.651778,JAM,18,4,s,23,8,2024,5
Av. Antonio Rendic,-70.38869,-23.640037,JAM,18,4,s,23,8,2024,12
Av. Antonio Rendic,-70.384101,-23.610363,JAM,18,4,s,23,8,2024,10
Av. Antonio Rendic,-70.38406,-23.610422,JAM,18,4,s,23,8,2024,18
Av. Edmundo Pérez Zujovic,-70.392059,-23.608102,JAM,18,4,s,23,8,2024,20
Av. Iquique,-70.393389,-23.640375,JAM,18,4,s,23,8,2024,20
Nicolás Tirado,-70.392278,-23.592264,JAM,18,4,s,23,8,2024,24
Av. Edmundo Pérez Zujovic,-70.394657,-23.588255,JAM,18,4,s,23,8,2024,25
Av. Antonio Rendic,-70.389328,-23.629547,JAM,18,4,s,23,8,2024,23
Av. Antonio Rendic,-70.383503,-23.617412,JAM,18,4,s,23,8,2024,28
Av. Antonio Rendic,-70.382545,-23.615917,JAM,18,4,s,23,8,2024,29
Av. Edmundo Pérez Zujovic,-70.392052,-23.61541,JAM,18,4,s,23,8,2024,35
Av. Antonio Rendic,-70.388734,-23.625763,JAM,18,4,s,23,8,2024,35
Av. Edmundo Pérez Zujovic,-70.396247,-23.629337,JAM,18,4,s,23,8,2024,38
Av. Antonio Rendic,-70.389528,-23.627997,JAM,18,4,s,23,8,2024,37
Av. Óscar Bonilla,-70.378683,-23.591591,ACCIDENT,18,4,s,23,8,2024,44
Av. Pedro Aguirre Cerda,-70.390808,-23.577786,JAM,18,4,s,23,8,2024,52
Av. Grecia,-70.402816,-23.65817,JAM,18,4,s,23,8,2024,50
Av. Óscar Bonilla,-70.378753,-23.590539,JAM,18,4,s,23,8,2024,49
Av. Edmundo Pérez Zujovic,-70.392041,-23.608674,JAM,18,4,s,23,8,2024,55
Av. Edmundo Pérez Zujovic,-70.392334,-23.578873,JAM,18,4,s,23,8,2024,54
Av. Edmundo Pérez Zujovic,-70.393723,-23.586801,JAM,18,4,s,23,8,2024,53
Av. Pedro Aguirre Cerda,-70.390958,-23.577482,JAM,19,4,s,23,8,2024,9
Av. Edmundo Pérez Zujovic,-70.392405,-23.601752,JAM,19,4,s,23,8,2024,21
Av. Pedro Aguirre Cerda,-70.389177,-23.618192,JAM,19,4,s,23,8,2024,22
